data,responsável,temperatura
sábado - 01/04/2023 00:00,Fábio,19.59
sábado - 01/04/2023 00:15,Fábio,19.1
sábado - 01/04/2023 00:30,Fábio,19.14
sábado - 01/04/2023 00:45,Fábio,18.55
sábado - 01/04/2023 01:00,Fábio,
sábado - 01/04/2023 01:15,Fábio,18.19
sábado - 01/04/2023 01:30,Fábio,18.17
sábado - 01/04/2023 01:45,Fábio,17.79
sábado - 01/04/2023 02:00,Fábio,17.86
sábado - 01/04/2023 02:15,Fábio,17.49
sábado - 01/04/2023 02:30,Fábio,17.08
sábado - 01/04/2023 02:45,Fábio,17.24
sábado - 01/04/2023 03:00,Fábio,17.16
sábado - 01/04/2023 03:15,Fábio,17.14
sábado - 01/04/2023 03:30,Fábio,16.93
sábado - 01/04/2023 03:45,Fábio,17.36
sábado - 01/04/2023 04:00,Fábio,16.91
sábado - 01/04/2023 04:15,Fábio,16.96
sábado - 01/04/2023 04:30,Fábio,17.11
sábado - 01/04/2023 04:45,Fábio,17.03
sábado - 01/04/2023 05:00,Fábio,17.14
sábado - 01/04/2023 05:15,Fábio,17.52
sábado - 01/04/2023 05:30,Fábio,17.53
sábado - 01/04/2023 05:45,Fábio,17.66
sábado - 01/04/2023 06:00,Fábio,17.67
sábado - 01/04/2023 06:15,Fábio,17.73
sábado - 01/04/2023 06:30,Fábio,18.22
sábado - 01/04/2023 06:45,Fábio,18.47
sábado - 01/04/2023 07:00,Fábio,18.72
sábado - 01/04/2023 07:15,Fábio,19.04
sábado - 01/04/2023 07:30,Fábio,18.61
sábado - 01/04/2023 07:45,Fábio,19.53
sábado - 01/04/2023 08:00,Fábio,19.74
sábado - 01/04/2023 08:15,Fábio,19.71
sábado - 01/04/2023 08:30,Fábio,20.12
sábado - 01/04/2023 08:45,Fábio,20.81
sábado - 01/04/2023 09:00,Fábio,20.74
sábado - 01/04/2023 09:15,Fábio,21.22
sábado - 01/04/2023 09:30,Fábio,21.72
sábado - 01/04/2023 09:45,Fábio,21.49
sábado - 01/04/2023 10:00,Fábio,22.21
sábado - 01/04/2023 10:15,Fábio,22.49
sábado - 01/04/2023 10:30,Fábio,22.99
sábado - 01/04/2023 10:45,Fábio,22.85
sábado - 01/04/2023 11:00,Fábio,23.09
sábado - 01/04/2023 11:15,Fábio,23.77
sábado - 01/04/2023 11:30,Fábio,24.16
sábado - 01/04/2023 11:45,Fábio,24.44
sábado - 01/04/2023 12:00,Fernando,25.0
sábado - 01/04/2023 12:15,Fernando,24.84
sábado - 01/04/2023 12:30,Fernando,25.52
sábado - 01/04/2023 12:45,Fernando,25.3
sábado - 01/04/2023 13:00,Fernando,25.6
sábado - 01/04/2023 13:15,Fernando,25.93
sábado - 01/04/2023 13:30,Fernando,26.03
sábado - 01/04/2023 13:45,Fernando,26.44
sábado - 01/04/2023 14:00,Fernando,26.42
sábado - 01/04/2023 14:15,Fernando,26.71
sábado - 01/04/2023 14:30,Fernando,26.99
sábado - 01/04/2023 14:45,Fernando,26.71
sábado - 01/04/2023 15:00,Fernando,26.66
sábado - 01/04/2023 15:15,Fernando,27.01
sábado - 01/04/2023 15:30,Fernando,27.3
sábado - 01/04/2023 15:45,Fernando,27.15
sábado - 01/04/2023 16:00,Fernando,26.98
sábado - 01/04/2023 16:15,Fernando,27.13
sábado - 01/04/2023 16:30,Fernando,26.8
sábado - 01/04/2023 16:45,Fernando,26.6
sábado - 01/04/2023 17:00,Fernando,26.35
sábado - 01/04/2023 17:15,Fernando,26.1
sábado - 01/04/2023 17:30,Fernando,25.85
sábado - 01/04/2023 17:45,Fernando,25.6
sábado - 01/04/2023 18:00,Fernando,25.35
sábado - 01/04/2023 18:15,Fernando,25.1
sábado - 01/04/2023 18:30,Fernando,24.85
sábado - 01/04/2023 18:45,Fernando,24.6
sábado - 01/04/2023 19:00,Fernando,24.35
sábado - 01/04/2023 19:15,Fernando,24.1
sábado - 01/04/2023 19:30,Fernando,23.85
sábado - 01/04/2023 19:45,Fernando,23.6
sábado - 01/04/2023 20:00,Fernando,23.35
sábado - 01/04/2023 20:15,Fernando,23.1
sábado - 01/04/2023 20:30,Fernando,22.85
sábado - 01/04/2023 20:45,Fernando,22.6
sábado - 01/04/2023 21:00,Fernando,22.35
sábado - 01/04/2023 21:15,Fernando,22.1
sábado - 01/04/2023 21:30,Fernando,21.85
sábado - 01/04/2023 21:45,Fernando,21.6
sábado - 01/04/2023 22:00,Fernando,21.35
sábado - 01/04/2023 22:15,Fernando,21.1
sábado - 01/04/2023 22:30,Fernando,20.85
sábado - 01/04/2023 22:45,Fernando,20.6
sábado - 01/04/2023 23:00,Fernando,20.35
sábado - 01/04/2023 23:15,Fernando,20.1
sábado - 01/04/2023 23:30,Fernando,19.85
sábado - 01/04/2023 23:45,Fernando,19.6
domingo - 02/04/2023 00:00,Júlia,19.72
domingo - 02/04/2023 00:15,Júlia,19.79
domingo - 02/04/2023 00:30,Júlia,19.42
domingo - 02/04/2023 00:45,Júlia,19.14
domingo - 02/04/2023 01:00,Júlia,19.35
domingo - 02/04/2023 01:15,Júlia,19.16
domingo - 02/04/2023 01:30,Júlia,19.04
domingo - 02/04/2023 01:45,Júlia,18.6
domingo - 02/04/2023 02:00,Júlia,18.2
domingo - 02/04/2023 02:15,Júlia,18.47
domingo - 02/04/2023 02:30,Júlia,18.39
domingo - 02/04/2023 02:45,Júlia,18.15
domingo - 02/04/2023 03:00,Júlia,18.05
domingo - 02/04/2023 03:15,Júlia,18.33
domingo - 02/04/2023 03:30,Júlia,18.42
domingo - 02/04/2023 03:45,Júlia,17.8
domingo - 02/04/2023 04:00,Júlia,18.02
domingo - 02/04/2023 04:15,Júlia,17.77
domingo - 02/04/2023 04:30,Júlia,18.16
domingo - 02/04/2023 04:45,Júlia,18.12
domingo - 02/04/2023 05:00,Júlia,17.88
domingo - 02/04/2023 05:15,Júlia,18.11
domingo - 02/04/2023 05:30,Júlia,18.13
domingo - 02/04/2023 05:45,Júlia,18.3
domingo - 02/04/2023 06:00,Júlia,18.7
domingo - 02/04/2023 06:15,Júlia,18.81
domingo - 02/04/2023 06:30,Júlia,18.5
domingo - 02/04/2023 06:45,Júlia,19.1
domingo - 02/04/2023 07:00,Júlia,
domingo - 02/04/2023 07:15,Júlia,19.58
domingo - 02/04/2023 07:30,Júlia,19.31
domingo - 02/04/2023 07:45,Júlia,19.92
domingo - 02/04/2023 08:00,Júlia,20.36
domingo - 02/04/2023 08:15,Júlia,20.55
domingo - 02/04/2023 08:30,Júlia,20.51
domingo - 02/04/2023 08:45,Júlia,20.82
domingo - 02/04/2023 09:00,Júlia,21.4
domingo - 02/04/2023 09:15,Júlia,21.36
domingo - 02/04/2023 09:30,Júlia,21.44
domingo - 02/04/2023 09:45,Júlia,21.61
domingo - 02/04/2023 10:00,Júlia,22.24
domingo - 02/04/2023 10:15,Júlia,22.47
domingo - 02/04/2023 10:30,Júlia,22.63
domingo - 02/04/2023 10:45,Júlia,22.8
domingo - 02/04/2023 11:00,Júlia,
domingo - 02/04/2023 11:15,Júlia,23.41
domingo - 02/04/2023 11:30,Júlia,23.72
domingo - 02/04/2023 11:45,Júlia,23.75
domingo - 02/04/2023 12:00,Letícia,24.12
domingo - 02/04/2023 12:15,Letícia,24.26
domingo - 02/04/2023 12:30,Letícia,24.72
domingo - 02/04/2023 12:45,Letícia,24.6
domingo - 02/04/2023 13:00,Letícia,25.06
domingo - 02/04/2023 13:15,Letícia,25.04
domingo - 02/04/2023 13:30,Letícia,25.43
domingo - 02/04/2023 13:45,Letícia,
domingo - 02/04/2023 14:00,Letícia,25.87
domingo - 02/04/2023 14:15,Letícia,25.46
domingo - 02/04/2023 14:30,Letícia,25.97
domingo - 02/04/2023 14:45,Letícia,25.81
domingo - 02/04/2023 15:00,Letícia,
domingo - 02/04/2023 15:15,Letícia,26.28
domingo - 02/04/2023 15:30,Letícia,26.03
domingo - 02/04/2023 15:45,Letícia,25.98
domingo - 02/04/2023 16:00,Letícia,25.7
domingo - 02/04/2023 16:15,Letícia,26.22
domingo - 02/04/2023 16:30,Letícia,26.08
domingo - 02/04/2023 16:45,Letícia,25.89
domingo - 02/04/2023 17:00,Letícia,25.55
domingo - 02/04/2023 17:15,Letícia,25.83
domingo - 02/04/2023 17:30,Letícia,25.52
domingo - 02/04/2023 17:45,Letícia,25.53
domingo - 02/04/2023 18:00,Letícia,25.2
domingo - 02/04/2023 18:15,Letícia,25.49
domingo - 02/04/2023 18:30,Letícia,25.13
domingo - 02/04/2023 18:45,Letícia,25.17
domingo - 02/04/2023 19:00,Letícia,24.76
domingo - 02/04/2023 19:15,Letícia,24.28
domingo - 02/04/2023 19:30,Letícia,24.05
domingo - 02/04/2023 19:45,Letícia,24.16
domingo - 02/04/2023 20:00,Letícia,23.75
domingo - 02/04/2023 20:15,Letícia,23.23
domingo - 02/04/2023 20:30,Letícia,23.03
domingo - 02/04/2023 20:45,Letícia,23.44
domingo - 02/04/2023 21:00,Letícia,22.93
domingo - 02/04/2023 21:15,Letícia,22.54
domingo - 02/04/2023 21:30,Letícia,22.11
domingo - 02/04/2023 21:45,Letícia,22.27
domingo - 02/04/2023 22:00,Letícia,21.6
domingo - 02/04/2023 22:15,Letícia,21.58
domingo - 02/04/2023 22:30,Letícia,21.22
domingo - 02/04/2023 22:45,Letícia,21.08
domingo - 02/04/2023 23:00,Letícia,20.99
domingo - 02/04/2023 23:15,Letícia,20.5
domingo - 02/04/2023 23:30,Letícia,20.08
domingo - 02/04/2023 23:45,Letícia,20.01
segunda - 03/04/2023 00:00,Fábio,21.74
segunda - 03/04/2023 00:15,Fábio,21.08
segunda - 03/04/2023 00:30,Fábio,21.12
segunda - 03/04/2023 00:45,Fábio,21.16
segunda - 03/04/2023 01:00,Fábio,20.51
segunda - 03/04/2023 01:15,Fábio,20.78
segunda - 03/04/2023 01:30,Fábio,20.46
segunda - 03/04/2023 01:45,Fábio,20.46
segunda - 03/04/2023 02:00,Fábio,20.36
segunda - 03/04/2023 02:15,Fábio,20.08
segunda - 03/04/2023 02:30,Fábio,20.08
segunda - 03/04/2023 02:45,Fábio,20.25
segunda - 03/04/2023 03:00,Fábio,19.83
segunda - 03/04/2023 03:15,Fábio,20.03
segunda - 03/04/2023 03:30,Fábio,19.97
segunda - 03/04/2023 03:45,Fábio,19.81
segunda - 03/04/2023 04:00,Fábio,19.87
segunda - 03/04/2023 04:15,Fábio,19.89
segunda - 03/04/2023 04:30,Fábio,19.89
segunda - 03/04/2023 04:45,Fábio,20.2
segunda - 03/04/2023 05:00,Fábio,19.82
segunda - 03/04/2023 05:15,Fábio,20.35
segunda - 03/04/2023 05:30,Fábio,20.09
segunda - 03/04/2023 05:45,Fábio,20.65
segunda - 03/04/2023 06:00,Fábio,20.55
segunda - 03/04/2023 06:15,Fábio,20.56
segunda - 03/04/2023 06:30,Fábio,20.74
segunda - 03/04/2023 06:45,Fábio,20.56
segunda - 03/04/2023 07:00,Fábio,21.02
segunda - 03/04/2023 07:15,Fábio,20.78
segunda - 03/04/2023 07:30,Fábio,21.33
segunda - 03/04/2023 07:45,Fábio,21.59
segunda - 03/04/2023 08:00,Fernando,21.74
segunda - 03/04/2023 08:15,Fernando,21.84
segunda - 03/04/2023 08:30,Fernando,21.96
segunda - 03/04/2023 08:45,Fernando,22.03
segunda - 03/04/2023 09:00,Fernando,22.15
segunda - 03/04/2023 09:15,Fernando,22.52
segunda - 03/04/2023 09:30,Fernando,22.62
segunda - 03/04/2023 09:45,Fernando,23.33
segunda - 03/04/2023 10:00,Fernando,22.73
segunda - 03/04/2023 10:15,Fernando,23.48
segunda - 03/04/2023 10:30,Fernando,23.25
segunda - 03/04/2023 10:45,Fernando,23.59
segunda - 03/04/2023 11:00,Fernando,23.81
segunda - 03/04/2023 11:15,Fernando,23.89
segunda - 03/04/2023 11:30,Fernando,24.15
segunda - 03/04/2023 11:45,Fernando,24.55
segunda - 03/04/2023 12:00,Fernando,24.7
segunda - 03/04/2023 12:15,Fernando,24.95
segunda - 03/04/2023 12:30,Fernando,24.87
segunda - 03/04/2023 12:45,Fernando,24.97
segunda - 03/04/2023 13:00,Fernando,25.21
segunda - 03/04/2023 13:15,Fernando,25.65
segunda - 03/04/2023 13:30,Fernando,25.76
segunda - 03/04/2023 13:45,Fernando,25.5
segunda - 03/04/2023 14:00,Fernando,25.49
segunda - 03/04/2023 14:15,Fernando,25.61
segunda - 03/04/2023 14:30,Fernando,26.0
segunda - 03/04/2023 14:45,Fernando,26.03
segunda - 03/04/2023 15:00,Fernando,25.94
segunda - 03/04/2023 15:15,Fernando,25.88
segunda - 03/04/2023 15:30,Fernando,26.17
segunda - 03/04/2023 15:45,Fernando,25.7
segunda - 03/04/2023 16:00,Júlia,26.11
segunda - 03/04/2023 16:15,Júlia,25.96
segunda - 03/04/2023 16:30,Júlia,26.39
segunda - 03/04/2023 16:45,Júlia,25.94
segunda - 03/04/2023 17:00,Júlia,25.68
segunda - 03/04/2023 17:15,Júlia,25.72
segunda - 03/04/2023 17:30,Júlia,25.89
segunda - 03/04/2023 17:45,Júlia,25.49
